vehicle_id; veh_bb_x1; veh_bb_y1; veh_bb_x2; veh_bb_y2; veh_bb_x3; veh_bb_y3; veh_bb_x4; veh_bb_y4; det_class; conf_score; state
     1;    2698.62;    1099.78;    2699.74;    1087.41;    2672.88;    1084.97;    2671.76;    1097.34;       10;    0.84;   stop
     9;    2741.44;    1102.01;    2742.72;    1089.28;    2711.06;    1086.11;    2709.78;    1098.85;       10;    0.84;   stop
    35;    1922.27;    1989.26;    1930.76;    1962.23;    1918.48;    1958.37;    1909.99;    1985.40;       10;    0.84;   move
    50;    3320.95;    1212.09;    3323.02;    1199.31;    3293.11;    1194.47;    3291.05;    1207.26;       10;    0.83;   move
     2;    1989.69;    1945.22;    1994.98;    1913.53;    1981.56;    1911.28;    1976.27;    1942.97;       10;    0.83;   stop
    14;    2731.70;    1118.73;    2732.60;    1106.26;    2705.05;    1104.27;    2704.15;    1116.74;       10;    0.83;   stop
     3;    2989.48;    1256.27;    2991.79;    1241.75;    2960.27;    1236.73;    2957.96;    1251.25;       10;    0.83;   stop
    22;    1697.82;    1109.13;    1697.85;    1097.05;    1671.55;    1096.99;    1671.53;    1109.07;       10;    0.82;   stop
    12;    1641.62;    1172.98;    1666.45;    1171.88;    1665.88;    1159.15;    1641.05;    1160.24;       10;    0.82;   stop
    29;    1935.34;    1856.34;    1939.65;    1825.49;    1925.66;    1823.54;    1921.35;    1854.38;       10;    0.82;   stop
    10;    3711.14;    1379.70;    3714.66;    1365.33;    3680.11;    1356.87;    3676.59;    1371.24;       10;    0.82;   stop
    21;    1807.16;     886.51;    1822.14;     886.49;    1822.09;     858.36;    1807.11;     858.39;       10;    0.82;   stop
    16;    2497.61;    1215.58;    2497.86;    1202.58;    2470.02;    1202.04;    2469.77;    1215.05;       10;    0.82;   stop
    18;    1975.79;    1982.56;    1984.39;    1951.82;    1971.46;    1948.19;    1962.86;    1978.93;       10;    0.82;   stop
    33;    2496.50;    1109.26;    2496.90;    1096.68;    2467.75;    1095.74;    2467.35;    1108.32;       10;    0.82;   stop
     7;    2987.56;    1130.17;    2989.50;    1118.93;    2962.19;    1114.21;    2960.25;    1125.45;       10;    0.82;   stop
    83;    1840.87;     735.61;    1853.27;     728.06;    1837.51;     702.14;    1825.10;     709.69;       10;    0.82;   move
    15;    2917.26;    1119.35;    2918.86;    1107.42;    2890.74;    1103.65;    2889.14;    1115.58;       10;    0.82;   stop
    26;    3383.42;    1092.25;    3386.08;    1079.66;    3356.27;    1073.37;    3353.61;    1085.96;       10;    0.82;   stop
     5;    1447.25;    1180.48;    1479.22;    1179.72;    1478.87;    1165.14;    1446.91;    1165.90;       10;    0.82;   stop
    27;    1979.57;    1716.61;    1994.02;    1716.57;    1993.93;    1686.51;    1979.48;    1686.56;       10;    0.82;   stop
     4;    1945.30;    1935.37;    1952.57;    1904.23;    1938.20;    1900.88;    1930.93;    1932.02;       10;    0.82;   move
    32;    1926.79;     741.59;    1940.10;     740.11;    1936.46;     707.41;    1923.15;     708.89;       10;    0.82;   stop
    23;    2649.77;    1116.86;    2650.43;    1103.20;    2618.23;    1101.64;    2617.57;    1115.30;       10;    0.82;   stop
    39;    2772.28;    1120.05;    2773.25;    1107.40;    2744.34;    1105.20;    2743.38;    1117.85;       10;    0.82;   stop
     6;    2959.94;    1218.94;    2961.67;    1204.95;    2929.06;    1200.93;    2927.33;    1214.92;       10;    0.82;   stop
    66;    2873.49;    1237.25;    2875.69;    1216.73;    2819.76;    1210.75;    2817.56;    1231.27;        9;    0.82;   stop
   168;    1976.95;    1593.28;    1990.90;    1592.40;    1988.86;    1560.10;    1974.91;    1560.98;       10;    0.82;   stop
   340;    1868.20;     834.41;    1887.17;     832.78;    1882.55;     778.84;    1863.58;     780.47;        9;    0.82;   move
    41;    1341.84;    1117.97;    1368.38;    1117.78;    1368.29;    1105.03;    1341.74;    1105.22;       10;    0.82;   stop
    36;    1731.65;    1191.08;    1731.73;    1177.23;    1701.85;    1177.05;    1701.77;    1190.90;       10;    0.82;   stop
   180;    1905.44;     627.13;    1921.14;     620.82;    1905.41;     581.68;    1889.70;     587.99;        9;    0.82;   move
    73;    3618.99;    1284.36;    3623.61;    1265.04;    3559.45;    1249.70;    3554.83;    1269.02;        9;    0.82;   stop
    82;    3707.44;    1286.45;    3710.05;    1271.83;    3678.19;    1266.13;    3675.57;    1280.75;       10;    0.82;   stop
    53;     839.56;    1128.06;     867.50;    1127.39;     867.21;    1115.19;     839.27;    1115.86;       10;    0.82;   stop
    31;    1985.71;    1813.13;    1989.06;    1778.03;    1975.60;    1776.74;    1972.25;    1811.85;       10;    0.82;   stop
    13;    2850.43;    1110.24;    2851.57;    1097.32;    2822.57;    1094.76;    2821.43;    1107.68;       10;    0.81;   stop
    37;    2205.69;    1136.68;    2235.48;    1136.59;    2235.44;    1122.32;    2205.64;    1122.41;       10;    0.81;   stop
    68;    1967.85;    1916.46;    1973.73;    1886.19;    1961.40;    1883.79;    1955.52;    1914.06;       10;    0.81;   stop
  1057;    3825.28;    1313.94;    3828.24;    1299.63;    3792.84;    1292.31;    3789.88;    1306.62;       10;    0.81;   move
    54;    1645.49;    1190.10;    1669.32;    1189.01;    1668.76;    1176.90;    1644.93;    1177.99;       10;    0.81;   stop
