vehicle_id;veh_bb_x1;veh_bb_y1;veh_bb_x2;veh_bb_y2;veh_bb_x3;veh_bb_y3;veh_bb_x4;veh_bb_y4;det_class;conf_score;state
5;1862.11;1227.47;1863.84;1214.94;1839.14;1211.53;1837.41;1224.06;10;0.8;stop
7;3392.07;1147.03;3395.07;1134.41;3365.43;1127.34;3362.43;1139.97;10;0.83;stop
11;2707.33;1129.39;2708.41;1117.45;2681.01;1114.98;2679.93;1126.93;10;0.84;stop
12;1817.58;2116.73;1829.82;2092.86;1819.17;2087.4;1806.93;2111.26;10;0.82;stop
16;348.66;1087.31;376.62;1084.09;375.09;1070.81;347.13;1074.04;10;0.77;stop
20;1914.09;1859.08;1919.39;1828.81;1905.75;1826.42;1900.45;1856.69;10;0.83;stop
22;539.37;1090.86;539.95;1080.76;517.19;1079.45;516.61;1089.55;10;0.8;stop
23;1046.73;1210.82;1047.3;1197.9;1019.52;1196.68;1018.95;1209.6;10;0.81;stop
24;1309.19;1098.4;1309.34;1084.43;1278.88;1084.1;1278.73;1098.07;10;0.82;stop
26;2923.59;1156.87;2925.64;1145.3;2897.91;1140.38;2895.86;1151.95;10;0.84;stop
27;1950.75;1986.2;1959.59;1956.39;1946.25;1952.43;1937.41;1982.24;10;0.82;stop
28;2990.58;1296.05;2993.24;1281.52;2961.42;1275.7;2958.76;1290.23;10;0.82;stop
29;1039.4;1097.71;1040.27;1086.45;1018.79;1084.79;1017.91;1096.05;10;0.78;stop
31;1197.66;1216.12;1225.61;1216.09;1225.59;1202.63;1197.64;1202.66;10;0.82;stop
38;873.76;1089.99;873.99;1077.25;846.22;1076.76;846.0;1089.5;10;0.82;stop
39;1434.08;1097.94;1434.08;1085.69;1405.42;1085.69;1405.42;1097.94;10;0.81;stop
45;608.92;1195.67;609.74;1183.62;583.58;1181.83;582.76;1193.88;10;0.81;stop
46;1559.95;1098.98;1560.56;1087.06;1534.92;1085.77;1534.32;1097.69;10;0.82;stop
47;3224.11;1049.95;3253.86;1039.35;3249.32;1026.61;3219.57;1037.21;10;0.82;stop
48;2952.26;1288.11;2954.64;1274.49;2923.24;1269.02;2920.86;1282.64;10;0.82;stop
50;1336.57;1220.0;1337.01;1203.29;1292.55;1202.13;1292.12;1218.84;9;0.82;stop
51;1968.47;909.7;1981.87;908.2;1978.78;880.74;1965.38;882.24;10;0.82;stop
55;912.57;1090.57;939.22;1090.47;939.18;1078.43;912.53;1078.53;10;0.81;stop
56;2856.03;1146.33;2857.87;1133.46;2830.47;1129.55;2828.63;1142.41;10;0.84;stop
58;3077.98;1250.18;3080.75;1236.15;3051.86;1230.45;3049.09;1244.48;10;0.63;stop
59;3032.52;1303.91;3034.82;1289.7;3000.48;1284.15;2998.18;1298.36;10;0.82;stop
64;1344.63;1701.71;1345.07;1688.84;1318.25;1687.91;1317.8;1700.79;10;0.81;stop
70;776.52;2012.98;790.06;2012.97;790.04;1984.52;776.5;1984.53;10;0.81;stop
71;1237.68;1678.13;1237.87;1663.5;1208.64;1663.12;1208.45;1677.75;10;0.81;move
73;1170.14;1094.5;1170.59;1083.3;1147.36;1082.38;1146.91;1093.57;10;0.79;stop
75;1704.5;1101.88;1704.57;1089.77;1677.25;1089.62;1677.18;1101.73;10;0.81;stop
76;1426.34;1219.35;1426.82;1205.95;1400.78;1205.03;1400.31;1218.43;10;0.8;stop
80;2865.03;1380.07;2869.9;1366.69;2837.22;1354.8;2832.35;1368.18;10;0.82;stop
82;1835.72;883.66;1836.51;855.97;1822.96;855.59;1822.18;883.28;10;0.82;stop
83;974.92;1092.07;975.09;1080.74;946.86;1080.3;946.69;1091.64;10;0.81;stop
86;2294.06;1233.71;2294.36;1220.53;2267.44;1219.91;2267.14;1233.09;10;0.8;stop
87;1749.63;1685.18;1750.7;1672.98;1724.91;1670.7;1723.83;1682.9;10;0.81;stop
88;3467.88;1379.78;3471.48;1366.15;3439.62;1357.72;3436.02;1371.35;10;0.81;stop
89;3672.29;1434.7;3676.02;1422.7;3647.71;1413.89;3643.98;1425.9;10;0.81;stop
91;897.94;1202.95;898.57;1191.0;871.13;1189.55;870.49;1201.5;10;0.79;stop
94;1468.27;1217.93;1494.0;1217.62;1493.86;1205.32;1468.12;1205.63;10;0.8;stop
