vehicle_id; veh_bb_x1; veh_bb_y1; veh_bb_x2; veh_bb_y2; veh_bb_x3; veh_bb_y3; veh_bb_x4; veh_bb_y4; det_class; conf_score; state
     2;    2749.97;    1138.08;    2751.60;    1124.73;    2720.53;    1120.92;    2718.90;    1134.27;       10;    0.84;   stop
 10586;    2743.54;    1155.08;    2745.16;    1141.43;    2713.46;    1137.67;    2711.84;    1151.32;       10;    0.84;   stop
     1;    2994.61;    1175.70;    2996.94;    1163.77;    2970.89;    1158.67;    2968.56;    1170.61;       10;    0.84;   stop
 11278;    2935.01;    1184.54;    2937.22;    1170.85;    2904.49;    1165.58;    2902.28;    1179.28;       10;    0.84;   stop
     5;    1703.55;    1100.73;    1703.96;    1088.29;    1677.08;    1087.40;    1676.67;    1099.84;       10;    0.83;   stop
  3882;    1549.47;    1116.70;    1549.49;    1102.97;    1518.41;    1102.92;    1518.39;    1116.65;       10;    0.83;   stop
  5507;    1843.95;     738.36;    1858.47;     738.34;    1858.43;     707.27;    1843.91;     707.28;       10;    0.83;   stop
  9884;    2621.76;    1144.96;    2622.82;    1131.08;    2591.11;    1128.67;    2590.06;    1142.55;       10;    0.83;   stop
  1866;    1955.21;     472.85;    1958.17;     438.49;    1944.04;     437.27;    1941.08;     471.63;       10;    0.83;   stop
 11041;    2875.99;    1172.65;    2878.08;    1160.91;    2851.01;    1156.10;    2848.92;    1167.84;       10;    0.83;   stop
    23;    2677.52;    1130.07;    2678.54;    1116.64;    2647.85;    1114.31;    2646.83;    1127.73;       10;    0.83;   stop
     6;    2891.68;    1156.32;    2893.89;    1143.89;    2864.57;    1138.68;    2862.36;    1151.11;       10;    0.83;   stop
    74;    2877.88;    1278.43;    2880.87;    1257.61;    2827.98;    1250.01;    2824.99;    1270.83;        9;    0.83;   stop
   154;    1957.65;     387.40;    1974.57;     369.87;    1966.26;     361.85;    1949.34;     379.38;       10;    0.83;   stop
 12111;     767.68;    1174.16;     767.86;    1158.74;     733.26;    1158.34;     733.08;    1173.76;       10;    0.83;   move
    13;    2511.72;    1117.92;    2511.74;    1105.12;    2484.03;    1105.08;    2484.01;    1117.88;       10;    0.83;   stop
   197;     465.81;    1077.30;     466.46;    1064.46;     437.94;    1063.01;     437.29;    1075.86;       10;    0.82;   stop
   109;    1424.73;    1215.36;    1424.93;    1202.66;    1399.02;    1202.26;    1398.82;    1214.97;       10;    0.82;   stop
  4180;    1986.27;    1428.68;    1989.69;    1397.62;    1976.73;    1396.19;    1973.31;    1427.26;       10;    0.82;   stop
   230;    1992.77;    1391.76;    1993.61;    1363.75;    1980.73;    1363.37;    1979.89;    1391.37;       10;    0.82;   stop
 11129;    3006.03;    1217.69;    3008.77;    1203.91;    2977.47;    1197.69;    2974.73;    1211.46;       10;    0.82;   stop
  1044;    1962.17;    1352.51;    1975.55;    1352.41;    1975.33;    1324.99;    1961.95;    1325.09;       10;    0.82;   stop
 10610;    1853.52;    2090.89;    1864.05;    2067.62;    1852.98;    2062.61;    1842.45;    2085.88;       10;    0.82;   move
  5166;    1863.36;     859.34;    1877.58;     859.19;    1877.27;     829.29;    1863.05;     829.44;       10;    0.82;   stop
