vehicle_id;veh_bb_x1;veh_bb_y1;veh_bb_x2;veh_bb_y2;veh_bb_x3;veh_bb_y3;veh_bb_x4;veh_bb_y4;det_class;conf_score;state
1;2764.86;1103.14;2766.54;1089.8;2737.14;1086.11;2735.46;1099.45;10;0.84;stop
2;1973.17;1706.69;1978.18;1671.4;1964.33;1669.43;1959.32;1704.73;10;0.82;stop
3;3710.0;1007.66;3710.55;992.29;3677.5;991.09;3676.95;1006.46;10;0.8;stop
5;1018.55;576.85;1020.36;563.88;993.33;560.1;991.52;573.07;10;0.83;stop
6;639.91;1556.13;641.29;1544.27;616.34;1541.37;614.96;1553.23;10;0.83;stop
9;1952.58;767.77;1967.32;767.57;1966.92;738.6;1952.18;738.81;10;0.73;move
10;2539.85;1209.97;2541.05;1195.65;2509.9;1193.03;2508.7;1207.35;10;0.82;stop
11;3375.0;1372.12;3381.42;1359.56;3352.5;1344.76;3346.08;1357.31;10;0.73;stop
12;744.65;1564.88;745.78;1551.25;718.78;1549.03;717.66;1562.66;10;0.83;stop
15;2689.55;1433.93;2694.05;1406.21;2679.7;1403.88;2675.2;1431.6;10;0.75;stop
16;1939.72;1941.26;1948.35;1907.47;1934.69;1903.99;1926.06;1937.78;10;0.82;stop
21;842.99;1109.23;843.54;1095.84;814.7;1094.65;814.15;1108.03;10;0.82;stop
22;3063.09;1293.01;3066.2;1277.57;3032.91;1270.87;3029.8;1286.31;10;0.82;stop
23;2926.21;1126.91;2928.55;1112.33;2897.54;1107.34;2895.2;1121.92;10;0.8;stop
25;1947.35;246.25;1960.06;246.07;1959.69;219.5;1946.97;219.68;10;0.77;move
26;928.07;992.16;928.58;978.84;899.21;977.72;898.7;991.03;10;0.82;stop
28;1436.87;1624.85;1438.02;1612.23;1408.26;1609.53;1407.11;1622.15;10;0.82;stop
29;1955.71;121.69;1956.36;95.19;1943.54;94.87;1942.89;121.37;10;0.79;move
35;3032.0;1149.01;3034.9;1136.58;3007.75;1130.24;3004.85;1142.67;10;0.81;stop
36;1890.38;1842.02;1897.49;1810.81;1882.87;1807.48;1875.76;1838.69;10;0.82;stop
39;1002.35;1118.4;1003.24;1104.24;973.15;1102.35;972.26;1116.51;10;0.82;stop
41;2235.04;1192.48;2235.82;1177.34;2202.71;1175.64;2201.93;1190.78;10;0.82;stop
42;390.76;1533.43;392.1;1520.13;362.99;1517.2;361.65;1530.49;10;0.8;stop
43;1258.21;1648.33;1259.63;1635.15;1231.98;1632.17;1230.56;1645.35;10;0.81;stop
44;2005.48;690.05;2006.47;659.26;1992.96;658.83;1991.97;689.61;10;0.82;stop
45;821.13;985.6;821.78;972.18;792.68;970.78;792.04;984.19;10;0.82;stop
48;2093.65;1305.78;2093.77;1292.07;2066.6;1291.84;2066.48;1305.55;10;0.82;stop
49;3108.19;1302.11;3111.02;1286.96;3075.56;1280.33;3072.73;1295.48;10;0.83;stop
50;2731.64;1099.03;2733.13;1084.57;2700.61;1081.22;2699.12;1095.68;10;0.81;stop
52;1724.36;1651.61;1725.56;1638.23;1696.76;1635.64;1695.56;1649.02;10;0.81;stop
54;3312.15;671.58;3314.26;643.81;3300.98;642.8;3298.86;670.57;10;0.78;stop
55;1243.0;1011.08;1243.54;997.06;1214.0;995.92;1213.46;1009.94;10;0.81;stop
56;2194.54;1189.1;2195.22;1175.81;2170.08;1174.52;2169.4;1187.81;10;0.81;stop
57;1949.89;659.46;1950.02;635.48;1937.74;635.42;1937.61;659.39;10;0.77;move
58;1937.48;888.35;1953.99;888.11;1953.52;855.4;1937.01;855.64;10;0.8;move
59;539.79;970.4;540.4;956.53;511.15;955.22;510.53;969.1;10;0.81;stop
66;2881.6;1248.36;2883.73;1234.53;2854.4;1230.02;2852.27;1243.85;10;0.76;stop
69;958.79;994.04;959.68;981.0;933.46;979.21;932.57;992.25;10;0.81;stop
73;2611.98;505.2;2612.67;479.52;2599.77;479.18;2599.08;504.85;10;0.8;stop
74;1100.36;588.08;1102.46;574.24;1071.45;569.55;1069.36;583.38;10;0.81;stop
75;887.78;991.69;888.46;978.5;860.47;977.06;859.79;990.25;10;0.82;stop
76;2393.79;1200.38;2394.5;1186.16;2363.46;1184.62;2362.75;1198.84;10;0.8;stop
77;1294.71;1651.07;1295.75;1637.2;1266.91;1635.05;1265.88;1648.92;10;0.8;stop
78;2370.03;1165.96;2371.23;1150.7;2338.84;1148.16;2337.65;1163.42;10;0.79;move
84;715.04;1600.38;715.75;1586.85;685.59;1585.25;684.87;1598.78;10;0.81;stop
85;2792.67;604.2;2792.68;588.89;2758.83;588.87;2758.82;604.17;10;0.79;stop
86;393.5;962.72;394.48;949.96;367.75;947.9;366.77;960.67;10;0.81;stop
89;3070.68;1157.95;3073.4;1144.06;3043.32;1138.18;3040.6;1152.06;10;0.82;stop
91;2960.65;108.59;2989.58;107.8;2989.19;93.44;2960.26;94.23;10;0.79;stop
92;2995.7;105.67;3021.79;105.37;3021.64;92.14;2995.55;92.44;10;0.78;stop
97;1716.26;1162.96;1717.72;1148.53;1687.99;1145.54;1686.53;1159.97;10;0.79;stop
98;2791.08;1235.94;2793.22;1221.4;2760.42;1216.56;2758.28;1231.1;10;0.8;stop
101;1209.69;1605.16;1210.94;1592.46;1184.31;1589.84;1183.06;1602.54;10;0.8;stop
103;2611.75;1215.67;2612.97;1201.18;2582.0;1198.58;2580.78;1213.07;10;0.8;stop
104;1993.58;1687.4;1995.49;1661.53;1982.92;1660.6;1981.01;1686.47;10;0.79;stop
105;1105.32;1835.29;1106.93;1810.55;1094.06;1809.71;1092.44;1834.45;10;0.79;stop
106;3601.63;1409.26;3606.36;1394.61;3572.12;1383.55;3567.39;1398.21;10;0.37;stop
109;3375.43;1019.67;3401.91;1000.04;3393.32;988.45;3366.84;1008.09;10;0.77;stop
110;2867.2;1387.01;2869.08;1373.35;2839.37;1369.24;2837.48;1382.9;10;0.75;stop
111;2942.66;1262.85;2946.17;1240.38;2887.84;1231.27;2884.33;1253.75;9;0.76;stop
112;1999.9;1396.06;2002.38;1368.68;1989.35;1367.5;1986.87;1394.88;10;0.81;stop
116;539.4;1086.43;540.91;1073.14;511.53;1069.82;510.03;1083.11;10;0.8;stop
119;2107.89;1184.07;2108.87;1169.34;2076.17;1167.18;2075.2;1181.91;10;0.82;stop
120;2788.48;1342.41;2788.91;1329.26;2760.77;1328.34;2760.34;1341.49;10;0.77;stop
122;1839.0;755.9;1839.77;726.1;1825.13;725.72;1824.35;755.52;10;0.81;stop
123;503.71;968.87;504.57;954.9;474.11;953.01;473.24;966.97;10;0.81;stop
125;2961.73;1134.61;2964.56;1120.29;2934.02;1114.26;2931.19;1128.59;10;0.81;stop
126;613.27;1554.1;614.54;1539.49;583.92;1536.83;582.65;1551.44;10;0.8;stop
127;2013.56;1649.72;2013.63;1627.45;2001.75;1627.41;2001.68;1649.68;10;0.6;stop
128;1959.28;536.67;1959.71;503.03;1944.47;502.83;1944.04;536.47;10;0.8;move
129;1989.94;656.56;1989.94;623.69;1974.19;623.69;1974.19;656.56;10;0.81;stop
131;2277.78;1192.77;2278.57;1179.21;2251.09;1177.6;2250.3;1191.17;10;0.78;stop
133;1284.38;1611.31;1286.21;1598.45;1261.49;1594.94;1259.67;1607.8;10;0.8;stop
134;2675.83;1094.51;2677.91;1080.46;2645.04;1075.61;2642.97;1089.66;10;0.81;stop
135;2499.56;1207.99;2500.62;1192.69;2469.19;1190.51;2468.13;1205.81;10;0.81;stop
137;2609.64;400.57;2610.32;373.75;2597.61;373.43;2596.93;400.25;10;0.78;stop
138;2611.64;541.6;2612.74;511.91;2598.98;511.4;2597.89;541.09;10;0.8;stop
139;787.03;983.08;787.53;971.06;759.92;969.92;759.42;981.94;10;0.8;stop
143;1221.59;1643.29;1222.6;1630.49;1193.79;1628.21;1192.78;1641.01;10;0.8;stop
144;1820.85;1697.76;1822.58;1684.32;1793.78;1680.61;1792.05;1694.05;10;0.78;stop
145;1866.94;1703.24;1868.01;1689.73;1839.94;1687.51;1838.87;1701.02;10;0.8;stop
148;1061.66;581.51;1063.57;569.0;1036.46;564.87;1034.56;577.38;10;0.8;stop
151;3715.26;1048.99;3751.17;1048.56;3750.99;1033.2;3715.08;1033.62;10;0.77;stop
152;637.58;1592.84;638.76;1579.25;611.17;1576.85;609.99;1590.44;10;0.79;stop
154;1997.21;73.44;1997.91;47.26;1986.04;46.94;1985.34;73.12;10;0.78;stop
156;1189.21;1134.29;1189.57;1119.22;1160.16;1118.52;1159.81;1133.59;10;0.81;stop
159;2356.24;1199.11;2357.05;1185.34;2327.88;1183.64;2327.08;1197.41;10;0.79;stop
160;2961.89;1396.86;2970.08;1383.84;2938.36;1363.89;2930.17;1376.91;10;0.79;stop
161;1413.02;1018.16;1413.53;1004.58;1383.73;1003.46;1383.22;1017.04;10;0.8;stop
166;2156.79;1186.31;2157.23;1172.66;2127.4;1171.69;2126.96;1185.34;10;0.79;stop
167;1951.78;389.44;1952.83;363.69;1940.34;363.18;1939.3;388.93;10;0.78;move
168;1798.81;2076.62;1811.97;2048.74;1800.07;2043.13;1786.91;2071.01;10;0.77;stop
169;2906.61;107.63;2935.03;107.48;2934.95;92.99;2906.53;93.15;10;0.79;stop
171;1135.23;1003.13;1136.17;991.18;1111.39;989.24;1110.45;1001.19;10;0.81;stop
173;2575.36;1211.36;2575.84;1198.27;2548.64;1197.27;2548.16;1210.36;10;0.78;stop
174;3406.72;997.18;3428.58;975.29;3418.28;965.01;3396.42;986.9;10;0.78;stop
178;173.27;1059.51;174.41;1045.7;145.24;1043.3;144.11;1057.11;10;0.77;stop
180;2002.32;915.3;2004.75;884.63;1991.43;883.58;1989.0;914.24;10;0.81;stop
181;804.4;1609.45;806.11;1596.13;776.3;1592.3;774.58;1605.62;10;0.8;stop
183;2811.22;1108.85;2813.0;1094.9;2778.62;1090.52;2776.84;1104.47;10;0.81;stop
186;1785.02;1695.1;1787.09;1681.29;1755.35;1676.53;1753.28;1690.34;10;0.77;stop
189;2612.21;82.75;2612.77;55.9;2599.54;55.62;2598.98;82.48;10;0.79;stop
190;2612.31;886.73;2613.71;855.4;2599.44;854.77;2598.04;886.1;10;0.77;stop
191;2870.48;109.55;2897.37;108.86;2897.02;95.3;2870.13;95.99;10;0.73;stop
192;3312.81;639.49;3314.02;607.99;3298.44;607.39;3297.23;638.89;10;0.8;stop
193;133.56;1057.82;134.37;1037.88;78.67;1035.62;77.85;1055.55;9;0.75;stop
198;1400.36;1145.06;1401.16;1131.28;1373.89;1129.69;1373.09;1143.47;10;0.81;stop
199;459.44;1539.29;460.82;1526.13;435.87;1523.52;434.5;1536.68;10;0.73;stop
200;2500.36;1750.38;2505.23;1715.5;2490.89;1713.49;2486.02;1748.38;10;0.81;stop
203;2846.66;560.61;2874.23;559.35;2873.59;545.27;2846.02;546.53;10;0.77;stop
205;2871.58;1116.25;2873.81;1102.53;2846.7;1098.12;2844.47;1111.85;10;0.78;stop
206;2650.08;1218.13;2650.98;1204.8;2622.42;1202.87;2621.52;1216.2;10;0.78;stop
207;2684.24;1401.26;2697.59;1400.2;2695.26;1370.92;2681.9;1371.99;10;0.66;stop
208;1925.01;1977.54;1934.02;1945.89;1920.24;1941.96;1911.23;1973.61;10;0.79;stop
209;1839.28;196.28;1839.43;168.3;1824.84;168.22;1824.69;196.2;10;0.8;stop
210;1822.8;681.73;1836.07;681.55;1835.7;654.77;1822.43;654.95;10;0.77;stop
211;1992.3;759.91;2006.01;759.7;2005.58;730.72;1991.86;730.92;10;0.79;stop
212;2069.81;1173.79;2070.82;1160.47;2042.81;1158.34;2041.8;1171.66;10;0.8;stop
214;2682.7;1222.66;2683.95;1209.11;2654.69;1206.41;2653.44;1219.96;10;0.77;stop
215;3027.14;1472.56;3040.57;1461.4;3011.3;1426.19;2997.87;1437.35;9;0.68;stop
216;315.07;1565.22;316.31;1550.99;284.46;1548.22;283.23;1562.45;10;0.77;stop
217;604.62;1590.8;605.76;1577.18;575.69;1574.66;574.55;1588.28;10;0.79;stop
219;2809.15;560.99;2839.46;560.12;2839.1;547.14;2808.79;548.0;10;0.78;stop
220;2955.78;560.47;2985.44;559.49;2984.97;545.4;2955.31;546.38;10;0.79;stop
221;1192.3;1011.59;1193.65;990.86;1142.64;987.53;1141.29;1008.26;9;0.82;stop
224;2925.32;1376.82;2931.26;1362.84;2896.18;1347.93;2890.24;1361.91;10;0.78;stop
225;1992.05;721.4;2004.54;721.2;2004.14;694.98;1991.64;695.17;10;0.79;stop
227;1306.6;1142.18;1307.61;1124.05;1258.96;1121.32;1257.95;1139.45;9;0.79;stop
228;2459.66;1203.85;2460.55;1189.8;2430.34;1187.9;2429.45;1201.95;10;0.78;stop
229;427.97;1536.21;429.19;1522.81;398.91;1520.04;397.68;1533.44;10;0.77;stop
230;1822.95;2024.93;1832.14;1999.95;1820.93;1995.82;1811.73;2020.8;10;0.76;stop
234;700.48;1954.61;700.86;1924.96;686.08;1924.77;685.7;1954.41;10;0.76;stop
236;1997.28;44.52;2010.2;44.42;2009.97;15.66;1997.05;15.77;10;0.73;stop
238;1995.41;237.37;2008.37;237.23;2008.09;210.94;1995.13;211.08;10;0.77;stop
239;2610.69;434.54;2611.57;409.62;2599.93;409.21;2599.05;434.13;10;0.79;stop
242;1141.67;1129.51;1142.36;1116.38;1113.39;1114.87;1112.71;1128.0;10;0.8;stop
247;1668.65;1685.35;1670.11;1672.41;1643.35;1669.4;1641.89;1682.34;10;0.75;stop
249;637.94;1144.11;638.76;1130.34;606.13;1128.39;605.3;1142.16;10;0.74;stop
250;1496.43;948.64;1500.5;915.44;1487.07;913.79;1483.0;947.0;10;0.79;stop
252;3067.01;1544.48;3087.51;1532.01;3051.49;1472.77;3030.99;1485.24;9;0.72;stop
254;3202.76;1056.37;3202.83;1040.05;3164.74;1039.88;3164.67;1056.2;10;0.78;stop
256;104.61;1539.56;106.48;1524.17;71.99;1519.97;70.12;1535.37;10;0.72;stop
257;2515.46;1606.47;2518.22;1575.17;2503.92;1573.9;2501.15;1605.21;10;0.79;stop
258;2772.54;562.0;2803.03;561.02;2802.58;547.25;2772.1;548.23;10;0.78;stop
260;1351.85;1016.06;1352.48;1002.46;1322.27;1001.07;1321.65;1014.67;10;0.78;stop
261;1892.24;1224.83;1904.87;1222.1;1899.01;1195.04;1886.38;1197.78;10;0.75;stop
263;376.86;1569.71;377.4;1556.03;351.11;1554.98;350.57;1568.66;10;0.77;stop
265;1854.38;360.8;1854.79;327.86;1841.43;327.7;1841.03;360.64;10;0.79;stop
266;2604.85;566.47;2635.45;565.52;2635.03;551.78;2604.42;552.73;10;0.79;stop
267;3162.26;557.95;3191.47;555.31;3190.24;541.73;3161.03;544.38;10;0.8;stop
268;979.33;571.99;981.38;558.32;953.8;554.18;951.75;567.85;10;0.76;stop
270;3378.87;1161.14;3393.22;1134.03;3380.51;1127.3;3366.15;1154.41;10;0.79;stop
271;1188.38;1641.27;1189.4;1627.83;1161.74;1625.73;1160.72;1639.17;10;0.75;stop
272;1838.11;690.09;1852.02;689.86;1851.51;658.79;1837.6;659.02;10;0.77;stop
273;2004.49;795.53;2004.93;770.68;1992.82;770.47;1992.38;795.32;10;0.77;stop
277;2101.27;1116.27;2102.08;1100.63;2067.6;1098.85;2066.8;1114.5;10;0.82;stop
279;2824.68;1239.24;2826.19;1226.68;2798.82;1223.39;2797.31;1235.95;10;0.74;stop
281;1992.02;110.89;1993.15;81.45;1979.42;80.92;1978.29;110.36;10;0.75;stop
282;1838.47;271.79;1839.97;240.78;1825.66;240.09;1824.16;271.09;10;0.79;stop
283;2774.69;113.76;2802.29;113.7;2802.26;100.46;2774.66;100.52;10;0.61;stop
