vehicle_id; veh_bb_x1; veh_bb_y1; veh_bb_x2; veh_bb_y2; veh_bb_x3; veh_bb_y3; veh_bb_x4; veh_bb_y4; det_class; conf_score; state
 10970;    3022.67;    1068.07;    3024.94;    1051.36;    2992.33;    1046.93;    2990.06;    1063.64;       10;    0.84;   stop
 10165;    2717.66;    1066.17;    2718.13;    1047.92;    2680.17;    1046.96;    2679.71;    1065.20;       10;    0.83;   stop
  2703;    2010.40;    1211.55;    2010.74;    1183.74;    1996.85;    1183.57;    1996.51;    1211.38;       10;    0.83;   stop
 10874;    2906.25;    1075.03;    2908.23;    1057.51;    2872.50;    1053.47;    2870.52;    1070.99;       10;    0.83;   stop
 11064;    3069.31;    1096.12;    3071.84;    1079.51;    3035.69;    1074.01;    3033.16;    1090.61;       10;    0.83;   stop
 11312;    3180.98;    1086.73;    3182.65;    1070.31;    3147.15;    1066.70;    3145.48;    1083.13;       10;    0.83;   move
 11362;    3146.81;    1107.12;    3148.83;    1090.72;    3115.69;    1086.63;    3113.66;    1103.03;       10;    0.83;   move
    10;    2950.45;    1037.25;    2951.86;    1021.54;    2920.18;    1018.69;    2918.76;    1034.40;       10;    0.83;   stop
  7492;    2698.28;    1044.46;    2698.61;    1027.12;    2664.75;    1026.47;    2664.42;    1043.81;       10;    0.83;   stop
 11176;    3101.65;    1076.66;    3103.48;    1060.57;    3066.35;    1056.34;    3064.52;    1072.43;       10;    0.82;   stop
   268;    2914.65;    1053.00;    2916.28;    1038.04;    2886.60;    1034.82;    2884.97;    1049.77;       10;    0.82;   stop
 10498;    2980.71;    1144.59;    2981.97;    1130.51;    2952.73;    1127.91;    2951.47;    1141.99;       10;    0.82;   move
  8591;    3106.87;    1163.64;    3108.78;    1148.44;    3077.35;    1144.49;    3075.44;    1159.69;       10;    0.82;   move
  5663;    1890.32;    2084.00;    1903.37;    2055.41;    1889.86;    2049.25;    1876.82;    2077.84;       10;    0.82;   stop
