vehicle_id;veh_bb_x1;veh_bb_y1;veh_bb_x2;veh_bb_y2;veh_bb_x3;veh_bb_y3;veh_bb_x4;veh_bb_y4;det_class;conf_score;state
3;3145.39;1198.16;3147.49;1182.36;3110.55;1177.46;3108.45;1193.26;10;0.82;stop
7;855.18;1172.85;855.43;1158.3;825.76;1157.78;825.5;1172.33;10;0.82;stop
10;2950.1;1036.41;2951.28;1021.34;2920.9;1018.96;2919.72;1034.03;10;0.79;stop
15;2653.12;1152.26;2681.28;1152.23;2681.26;1138.24;2653.1;1138.27;10;0.81;stop
19;1977.63;669.24;1992.09;668.13;1989.87;639.14;1975.41;640.25;10;0.82;stop
21;2824.44;1155.28;2824.99;1140.97;2792.31;1139.72;2791.76;1154.03;10;0.81;stop
22;1960.6;680.16;1974.69;679.23;1972.59;647.34;1958.49;648.27;10;0.81;stop
23;1075.18;640.12;1075.59;626.12;1044.88;625.22;1044.47;639.23;10;0.82;stop
26;1958.2;640.2;1973.9;638.87;1971.05;605.17;1955.35;606.5;10;0.81;stop
27;2725.71;1153.69;2726.15;1137.75;2691.92;1136.81;2691.48;1152.75;10;0.81;stop
32;3499.75;1066.74;3503.92;1052.14;3470.56;1042.63;3466.4;1057.24;10;0.78;stop
36;992.55;635.97;993.36;622.87;966.83;621.22;966.01;634.32;10;0.81;stop
37;3429.03;930.78;3446.6;903.45;3433.47;895.0;3415.9;922.33;10;0.81;stop
40;2007.4;896.1;2007.45;865.67;1993.28;865.65;1993.24;896.08;10;0.82;stop
46;1756.34;1659.76;1784.68;1659.43;1784.5;1644.36;1756.17;1644.7;10;0.81;stop
49;1145.5;1054.99;1145.66;1040.1;1114.06;1039.76;1113.9;1054.65;10;0.8;stop
53;2832.37;1028.33;2833.5;1012.78;2797.88;1010.17;2796.75;1025.72;10;0.8;stop
56;3356.13;1360.19;3361.2;1346.62;3332.93;1336.06;3327.86;1349.63;10;0.82;stop
57;1790.19;234.18;1805.0;233.16;1803.06;205.13;1788.25;206.16;10;0.79;stop
59;2968.95;1287.05;2973.96;1271.6;2938.05;1259.95;2933.04;1275.4;10;0.78;stop
60;1997.53;1255.55;2011.97;1254.45;2009.72;1225.07;1995.28;1226.18;10;0.8;move
64;1494.01;1655.3;1494.15;1641.24;1464.74;1640.95;1464.6;1655.01;10;0.79;stop
65;2015.04;1239.79;2028.55;1238.48;2025.96;1211.59;2012.45;1212.89;10;0.8;move
66;3240.81;1445.38;3250.56;1411.36;3233.57;1406.49;3223.81;1440.51;10;0.8;stop
67;1983.89;741.28;1998.2;739.67;1994.86;709.97;1980.55;711.58;10;0.82;stop
68;3734.14;895.5;3769.41;891.65;3767.74;876.37;3732.47;880.23;10;0.8;stop
72;3475.88;827.1;3493.14;798.82;3480.37;791.02;3463.11;819.31;10;0.8;stop
74;2894.67;1029.64;2895.72;1015.37;2868.33;1013.36;2867.28;1027.63;10;0.81;stop
76;2497.97;1153.29;2529.69;1152.5;2529.28;1136.09;2497.56;1136.88;10;0.79;stop
79;3141.9;447.23;3169.55;443.06;3167.48;429.33;3139.83;433.5;10;0.79;stop
80;3781.01;889.93;3814.06;886.87;3812.74;872.57;3779.69;875.63;10;0.8;stop
84;1849.08;811.94;1864.75;810.49;1861.92;779.93;1846.25;781.38;10;0.78;move
86;2748.34;482.21;2782.12;477.98;2780.33;463.73;2746.55;467.95;10;0.79;stop
87;888.58;1174.66;888.65;1158.91;858.92;1158.78;858.85;1174.52;10;0.79;stop
90;3410.48;965.72;3426.54;933.57;3411.71;926.15;3395.64;958.31;10;0.79;stop
91;2029.4;1382.04;2043.2;1381.99;2043.1;1351.71;2029.3;1351.76;10;0.8;stop
92;937.72;1059.68;965.55;1059.39;965.4;1045.01;937.57;1045.3;10;0.8;stop
93;398.04;1073.59;398.13;1058.47;366.96;1058.28;366.87;1073.4;10;0.8;stop
