vehicle_id;veh_bb_x1;veh_bb_y1;veh_bb_x2;veh_bb_y2;veh_bb_x3;veh_bb_y3;veh_bb_x4;veh_bb_y4;det_class;conf_score;state
57;1789.78;234.53;1804.46;233.45;1802.34;204.78;1787.67;205.87;10;0.8;parked
142;1824.13;685.25;1838.56;683.79;1835.49;653.5;1821.06;654.96;10;0.79;parked
212;1771.74;190.14;1786.03;188.69;1783.26;161.42;1768.97;162.87;10;0.78;parked
220;1768.57;145.95;1781.78;145.44;1780.72;117.3;1767.5;117.81;10;0.77;parked
222;1812.15;712.32;1827.3;710.25;1823.06;679.3;1807.9;681.38;10;0.79;parked
233;1790.86;469.07;1806.51;467.66;1803.52;434.31;1787.87;435.71;10;0.75;parked
238;1777.55;93.03;1791.62;91.57;1788.7;63.35;1774.63;64.8;10;0.71;parked
293;1807.87;677.66;1822.12;676.34;1819.46;647.59;1805.21;648.91;10;0.76;parked
301;1772.48;225.04;1787.11;225.0;1787.02;194.59;1772.39;194.63;10;0.75;parked
338;1800.29;352.84;1815.69;351.87;1813.68;319.91;1798.27;320.88;10;0.73;parked
350;1777.17;267.33;1792.47;265.83;1789.27;233.29;1773.97;234.8;10;0.76;parked
438;1794.33;267.89;1809.78;266.17;1806.56;237.24;1791.11;238.96;10;0.71;moving
442;1811.83;556.73;1826.11;556.33;1825.34;528.9;1811.06;529.3;10;0.67;parked
592;1824.12;887.17;1839.73;886.1;1837.38;852.08;1821.77;853.15;10;0.55;parked
5451;1785.34;113.91;1785.75;95.62;1773.22;95.34;1772.81;113.63;10;0.54;parked
10722;1779.04;61.03;1795.23;59.3;1791.71;26.16;1775.52;27.88;10;0.79;parked
11930;1765.41;62.82;1778.16;61.22;1774.96;35.62;1762.21;37.21;10;0.58;parked
