vehicle_id;veh_bb_x1;veh_bb_y1;veh_bb_x2;veh_bb_y2;veh_bb_x3;veh_bb_y3;veh_bb_x4;veh_bb_y4;det_class;conf_score;state
19;1977.22;669.19;1991.86;668.11;1989.72;639.18;1975.08;640.27;10;0.82;parked
22;1960.6;680.25;1974.8;679.27;1972.59;647.25;1958.39;648.23;10;0.81;parked
26;1957.97;640.61;1973.96;639.24;1971.0;604.77;1955.01;606.14;10;0.82;parked
40;1993.21;896.3;2007.51;896.28;2007.48;865.45;1993.18;865.47;10;0.81;parked
67;1983.6;740.87;1998.01;739.22;1994.59;709.25;1980.18;710.9;10;0.82;parked
97;1979.82;704.18;1993.78;702.95;1991.43;676.2;1977.47;677.42;10;0.81;parked
111;1991.47;852.33;2004.54;851.25;2002.28;823.92;1989.21;825.0;10;0.79;parked
112;1983.54;822.99;1998.76;820.45;1993.53;789.13;1978.3;791.68;10;0.81;parked
124;1994.85;929.72;2008.55;929.17;2007.52;903.47;1993.82;904.02;10;0.78;parked
152;1986.77;779.92;1999.74;778.93;1997.61;751.2;1984.64;752.2;10;0.79;parked
400;2007.82;995.23;2021.93;991.89;2015.18;963.39;2001.07;966.74;10;0.72;parked
853;1967.84;765.3;1981.52;764.02;1978.85;735.45;1965.16;736.73;10;0.82;parked
