vehicle_id;veh_bb_x1;veh_bb_y1;veh_bb_x2;veh_bb_y2;veh_bb_x3;veh_bb_y3;veh_bb_x4;veh_bb_y4;det_class;conf_score;state
57;1789.67;234.23;1804.52;233.13;1802.45;205.08;1787.6;206.18;10;0.79;parked
142;1823.68;684.5;1837.91;683.03;1834.82;653.13;1820.59;654.6;10;0.79;parked
212;1771.95;190.53;1786.09;189.13;1783.38;161.6;1769.24;162.99;10;0.77;parked
220;1767.76;145.86;1781.22;145.47;1780.4;117.39;1766.94;117.78;10;0.77;parked
222;1811.85;711.95;1827.59;709.59;1822.93;678.55;1807.2;680.91;10;0.78;parked
233;1791.07;469.69;1806.96;468.16;1803.64;433.69;1787.74;435.22;10;0.74;parked
238;1777.87;93.2;1791.21;92.45;1789.55;63.17;1776.21;63.93;10;0.76;parked
293;1807.48;677.66;1822.11;676.29;1819.43;647.59;1804.8;648.96;10;0.74;parked
301;1787.48;224.41;1787.57;194.7;1773.14;194.66;1773.05;224.36;10;0.75;parked
338;1800.22;352.67;1814.51;351.6;1812.15;320.08;1797.86;321.15;10;0.74;parked
350;1777.21;267.04;1792.14;265.61;1789.08;233.59;1774.16;235.01;10;0.77;parked
438;1793.99;267.83;1808.84;266.34;1805.92;237.29;1791.07;238.78;10;0.72;parked
442;1811.46;556.57;1826.67;556.36;1826.27;527.93;1811.07;528.14;10;0.63;parked
592;1825.33;887.11;1840.99;885.64;1837.86;852.14;1822.2;853.61;9;0.61;parked
5451;1785.34;114.15;1785.61;95.84;1773.22;95.66;1772.96;113.97;10;0.52;parked
10722;1779.46;60.64;1795.02;58.85;1791.29;26.54;1775.73;28.34;10;0.77;parked
11930;1764.52;62.06;1777.77;60.69;1774.73;31.32;1761.48;32.69;10;0.7;parked
13028;1761.51;94.8;1773.38;94.52;1772.73;67.2;1760.86;67.48;10;0.42;parked
