vehicle_id;veh_bb_x1;veh_bb_y1;veh_bb_x2;veh_bb_y2;veh_bb_x3;veh_bb_y3;veh_bb_x4;veh_bb_y4;det_class;conf_score;state;parking_zone;timestamp_in;timestamp_out
1;2577.72;1122.86;2610.92;1121.72;2610.41;1106.89;2577.21;1108.03;10;0.76;move;-1;;
3;3146.08;1198.24;3148.12;1182.11;3110.8;1177.39;3108.76;1193.52;10;0.82;stop;11;1;7518
7;854.79;1172.7;855.18;1158.73;826.14;1157.93;825.76;1171.9;10;0.83;stop;-1;;
8;1911.81;332.32;1926.19;331.56;1924.44;298.8;1910.06;299.57;10;0.77;move;-1;;
10;2951.57;1037.29;2953.02;1021.67;2920.47;1018.64;2919.01;1034.26;10;0.83;stop;6;1;7518
11;10.34;1098.23;36.03;1097.85;35.83;1084.27;10.14;1084.65;10;0.38;move;-1;;
14;149.93;1095.17;179.0;1092.05;177.49;1077.95;148.42;1081.07;10;0.68;move;-1;;
15;2680.61;1151.72;2680.73;1137.89;2652.64;1137.65;2652.52;1151.49;10;0.81;stop;11;1;7518
16;1927.58;738.57;1944.0;737.59;1942.05;704.81;1925.62;705.79;10;0.78;move;-1;;
19;1977.16;669.66;1991.85;668.6;1989.78;639.84;1975.09;640.9;10;0.82;stop;9;1;7518
21;2823.2;1155.79;2823.76;1141.6;2791.3;1140.33;2790.74;1154.52;10;0.81;stop;11;1;7518
22;1960.54;680.27;1974.67;679.26;1972.37;647.23;1958.24;648.24;10;0.81;stop;9;1;7518
23;1075.43;640.35;1076.22;625.87;1044.63;624.15;1043.84;638.63;10;0.8;stop;-1;;
26;1957.92;640.66;1973.86;639.24;1970.76;604.71;1954.83;606.14;10;0.82;stop;9;1;7518
27;2724.88;1153.94;2725.61;1138.13;2691.62;1136.56;2690.89;1152.37;10;0.81;stop;11;1;7518
32;3499.98;1067.1;3504.16;1051.75;3469.4;1042.28;3465.21;1057.62;10;0.81;stop;6;1;7518
36;993.25;635.57;993.87;622.41;965.38;621.05;964.75;634.22;10;0.8;stop;-1;;
37;3429.03;930.43;3446.57;902.7;3433.47;894.41;3415.93;922.15;10;0.82;stop;6;1;7518
40;1993.22;896.36;2007.54;896.33;2007.47;865.39;1993.15;865.42;10;0.81;stop;9;1;7518
41;219.49;1090.96;243.58;1089.78;242.93;1076.54;218.84;1077.72;10;0.73;move;-1;;
44;3502.3;1048.29;3507.79;1033.14;3473.63;1020.77;3468.15;1035.92;10;0.8;stop;6;1;5352
46;1784.15;1659.15;1784.17;1645.02;1756.22;1644.98;1756.2;1659.1;10;0.8;stop;14;1;7518
47;1910.23;472.0;1925.41;469.57;1920.48;438.84;1905.3;441.27;10;0.49;move;-1;;
49;1144.41;1056.13;1144.73;1040.77;1113.09;1040.12;1112.77;1055.48;10;0.81;stop;10;1;7518
53;2832.33;1027.72;2833.2;1012.78;2799.05;1010.78;2798.18;1025.72;10;0.8;stop;6;1;7518
54;1966.72;933.83;1980.91;932.17;1977.53;903.29;1963.34;904.96;10;0.78;move;-1;;
56;3356.61;1360.75;3361.91;1346.87;3333.39;1335.97;3328.09;1349.85;10;0.82;stop;11;1;7518
57;1789.8;234.48;1804.48;233.39;1802.33;204.27;1787.65;205.36;10;0.8;stop;1;1;7132
