vehicle_id;veh_bb_x1;veh_bb_y1;veh_bb_x2;veh_bb_y2;veh_bb_x3;veh_bb_y3;veh_bb_x4;veh_bb_y4;det_class;conf_score;state;parking_zone;timestamp_in;timestamp_out
1;2028.71;1239.41;2028.9;1207.56;2013.6;1207.47;2013.41;1239.32;10;0.79;move;-1;;
3;3145.75;1198.46;3147.65;1182.58;3110.18;1178.1;3108.29;1193.98;10;0.82;stop;11;1;7518
7;855.07;1173.54;855.56;1159.02;825.87;1158.02;825.38;1172.54;10;0.84;stop;-1;;
8;1999.52;1283.37;2014.07;1283.13;2013.54;1251.25;1998.99;1251.49;10;0.79;move;-1;;
10;2950.42;1037.04;2951.61;1021.36;2919.27;1018.9;2918.08;1034.58;10;0.82;stop;6;1;7518
11;2233.24;1047.89;2261.94;1046.66;2261.32;1032.24;2232.62;1033.47;10;0.79;move;-1;;
13;2313.86;1046.75;2344.44;1044.22;2343.27;1030.0;2312.68;1032.53;10;0.8;move;-1;;
14;2270.61;1046.29;2301.86;1044.38;2301.01;1030.46;2269.76;1032.37;10;0.79;move;-1;;
15;2680.8;1152.25;2680.86;1138.38;2652.45;1138.25;2652.39;1152.12;10;0.82;stop;11;1;7518
16;2001.9;1356.75;2017.29;1356.22;2016.23;1325.25;2000.84;1325.78;10;0.8;move;-1;;
18;2497.79;1063.25;2498.53;1046.58;2463.09;1045.0;2462.35;1061.67;10;0.81;move;-1;;
19;1976.78;670.62;1991.86;669.51;1989.59;638.88;1974.52;639.99;10;0.83;stop;9;1;7518
20;2112.92;1070.67;2144.42;1069.92;2144.08;1055.58;2112.58;1056.33;10;0.8;move;-1;;
21;2825.1;1155.72;2825.53;1141.42;2791.65;1140.4;2791.22;1154.71;10;0.81;stop;11;1;7518
22;1961.12;681.19;1975.24;679.77;1971.88;646.31;1957.76;647.73;10;0.82;stop;9;1;7518
23;1075.47;640.67;1075.85;625.76;1044.03;624.95;1043.65;639.87;10;0.8;stop;-1;;
25;2376.0;1064.74;2414.88;1062.41;2413.88;1045.76;2375.0;1048.09;10;0.77;move;-1;;
26;1957.04;640.59;1973.25;639.31;1970.53;604.79;1954.32;606.06;10;0.83;stop;9;1;7518
27;2726.17;1153.85;2726.66;1137.73;2691.45;1136.65;2690.96;1152.77;10;0.82;stop;11;1;7518
28;2216.12;1069.12;2249.21;1067.85;2248.63;1052.63;2215.54;1053.9;10;0.77;move;-1;;
29;2286.05;1066.19;2312.87;1065.68;2312.57;1049.94;2285.75;1050.44;10;0.74;move;-1;;
32;3498.77;1067.88;3503.12;1052.3;3467.79;1042.44;3463.44;1058.01;10;0.81;stop;6;1;7518
33;2585.45;1060.8;2585.7;1044.63;2549.8;1044.08;2549.55;1060.25;10;0.78;move;-1;;
36;992.48;636.25;993.43;622.81;966.89;620.93;965.94;634.38;10;0.81;stop;-1;;
37;3430.02;931.17;3447.44;902.74;3433.42;894.15;3416.0;922.57;10;0.82;stop;6;1;7518
40;1992.73;896.89;2007.35;896.37;2006.27;865.98;1991.65;866.5;10;0.8;stop;9;1;7518
41;2370.42;1041.67;2397.82;1039.95;2396.96;1026.08;2369.55;1027.8;10;0.77;move;-1;;
44;3502.24;1048.81;3507.54;1032.48;3472.76;1021.19;3467.46;1037.52;10;0.81;stop;6;1;5352
46;1755.78;1659.41;1783.96;1659.38;1783.94;1644.71;1755.76;1644.74;10;0.79;stop;14;1;7518
47;2034.37;1283.18;2034.9;1252.86;2018.63;1252.57;2018.1;1282.89;10;0.77;move;-1;;
49;1145.04;1056.0;1145.45;1040.75;1112.84;1039.88;1112.43;1055.12;10;0.82;stop;10;1;7518
52;17.66;1099.31;51.42;1095.15;49.49;1079.44;15.73;1083.6;10;0.8;stop;-1;;
53;2832.89;1028.45;2834.04;1012.73;2797.36;1010.05;2796.21;1025.77;10;0.81;stop;6;1;7518
54;2012.85;1512.78;2026.91;1512.4;2026.09;1481.97;2012.03;1482.35;10;0.81;move;-1;;
56;3356.87;1360.53;3362.08;1346.38;3333.13;1335.72;3327.92;1349.87;10;0.8;stop;11;1;7518
57;1789.39;234.88;1804.51;233.97;1802.74;204.44;1787.61;205.35;10;0.8;stop;1;1;7132
59;2968.11;1287.85;2973.57;1271.44;2936.64;1259.15;2931.18;1275.56;10;0.82;stop;13;1;7518
60;2014.29;1623.21;2029.12;1623.13;2028.96;1593.16;2014.13;1593.24;10;0.81;move;-1;;
62;1997.44;1238.35;2010.68;1237.94;2009.81;1209.65;1996.57;1210.06;10;0.76;move;-1;;
64;1493.85;1655.36;1494.18;1641.62;1463.78;1640.89;1463.45;1654.63;10;0.74;stop;14;1;7518
65;2012.97;1586.58;2027.01;1586.04;2025.97;1558.92;2011.93;1559.46;10;0.81;move;-1;;
66;3316.41;1346.42;3325.92;1313.73;3309.84;1309.05;3300.33;1341.74;10;0.78;stop;11;1;4669
67;1982.87;743.21;1998.2;741.58;1994.76;709.17;1979.42;710.8;10;0.82;stop;9;1;7518
68;3733.83;895.93;3769.89;891.7;3768.04;875.95;3731.99;880.17;10;0.79;stop;6;1;7518
72;3475.71;828.21;3494.05;798.15;3480.54;789.91;3462.2;819.97;10;0.8;stop;6;1;7518
74;2893.87;1030.42;2895.05;1016.02;2866.88;1013.7;2865.7;1028.1;10;0.83;stop;6;1;7518
76;2495.83;1153.82;2529.51;1153.13;2529.17;1136.68;2495.49;1137.37;10;0.79;stop;11;1;7518
79;3141.35;447.71;3170.19;443.44;3168.03;428.85;3139.19;433.12;10;0.81;stop;8;1;7518
80;3778.97;891.09;3814.38;887.81;3812.91;871.88;3777.49;875.16;10;0.8;stop;6;1;7518
84;1808.48;507.73;1823.85;506.24;1820.77;474.4;1805.4;475.88;10;0.8;stop;1;1;4288
85;1995.18;1825.07;1999.12;1789.07;1983.01;1787.31;1979.07;1823.31;10;0.79;move;-1;;
86;2747.66;483.45;2783.24;478.99;2781.34;463.8;2745.76;468.26;10;0.8;stop;7;1;7518
87;888.88;1175.88;889.03;1158.77;858.62;1158.49;858.47;1175.6;10;0.78;stop;-1;;
90;3410.47;967.14;3427.92;934.24;3412.65;926.14;3395.2;959.04;10;0.8;stop;6;1;7518
91;2042.32;1382.72;2043.16;1352.57;2028.11;1352.15;2027.28;1382.31;10;0.82;stop;15;1;7518
92;937.35;1060.22;966.25;1060.0;966.15;1045.78;937.25;1046.0;10;0.79;stop;10;1;7518
93;397.45;1073.92;397.49;1058.98;366.61;1058.89;366.57;1073.83;10;0.8;stop;10;1;7518
96;1860.73;2149.98;1873.83;2121.51;1861.9;2116.02;1848.8;2144.49;10;0.79;stop;-1;;
97;1978.69;704.08;1993.15;702.59;1990.31;675.17;1975.85;676.66;10;0.82;stop;9;1;7518
98;2650.1;492.62;2679.64;488.33;2677.52;473.76;2647.99;478.04;10;0.8;stop;7;1;7518
101;1876.38;2116.54;1889.21;2088.82;1876.81;2083.08;1863.98;2110.81;10;0.77;stop;-1;;
102;92.07;1099.65;122.98;1099.39;122.85;1084.73;91.95;1084.99;10;0.78;stop;-1;;
107;2098.2;1092.52;2131.86;1092.38;2131.8;1076.48;2098.14;1076.62;10;0.8;move;-1;;
109;2011.82;1549.79;2025.34;1549.29;2024.31;1521.46;2010.78;1521.96;10;0.79;move;-1;;
110;2913.07;1303.73;2914.23;1287.95;2882.55;1285.64;2881.4;1301.42;10;0.81;stop;13;1;7518
111;1991.48;854.02;2005.24;852.63;2002.27;823.35;1988.51;824.75;10;0.8;stop;9;1;7518
112;1982.97;823.69;1998.02;821.59;1993.53;789.56;1978.48;791.66;10;0.82;stop;9;1;7518
114;3058.39;1051.51;3060.79;1036.92;3030.86;1031.99;3028.46;1046.58;10;0.81;stop;6;1;7518
116;2025.08;1398.79;2026.1;1364.65;2011.42;1364.21;2010.4;1398.35;10;0.82;move;-1;;
117;2571.99;1696.71;2574.73;1660.28;2559.89;1659.17;2557.14;1695.59;10;0.78;stop;16;1;7518
118;1967.85;1837.62;1972.48;1803.94;1956.61;1801.76;1951.99;1835.44;10;0.79;stop;-1;;
119;1948.14;254.45;1962.32;253.2;1959.74;223.68;1945.55;224.92;10;0.8;stop;2;1;7518
120;2740.23;525.13;2774.61;521.47;2773.02;506.49;2738.64;510.15;10;0.82;stop;7;1;7518
124;1995.19;931.01;2009.02;930.3;2007.56;901.62;1993.73;902.32;10;0.78;stop;9;1;7518
125;1818.04;1017.75;1839.09;990.82;1827.01;981.37;1805.95;1008.31;10;0.79;stop;-1;;
