vehicle_id;veh_bb_x1;veh_bb_y1;veh_bb_x2;veh_bb_y2;veh_bb_x3;veh_bb_y3;veh_bb_x4;veh_bb_y4;det_class;conf_score;state;parking_zone;timestamp_in;timestamp_out
3;3145.7;1198.35;3147.74;1181.93;3110.24;1177.27;3108.2;1193.7;10;0.82;stop;11;1;7518
7;855.07;1172.51;855.44;1157.93;825.86;1157.18;825.49;1171.76;10;0.81;stop;-1;;
10;2951.97;1037.34;2953.44;1021.68;2920.53;1018.59;2919.06;1034.26;10;0.82;stop;6;1;7518
15;2652.09;1152.27;2681.17;1152.25;2681.16;1138.23;2652.08;1138.25;10;0.81;stop;11;1;7518
19;1977.23;670.23;1992.06;669.06;1989.71;639.27;1974.88;640.44;10;0.82;stop;9;1;7518
21;2823.76;1155.89;2824.39;1141.69;2791.87;1140.24;2791.24;1154.44;10;0.8;stop;11;1;7518
22;1960.57;680.47;1974.95;679.43;1972.62;647.03;1958.24;648.07;10;0.8;stop;9;1;7518
23;1074.74;640.13;1075.09;626.26;1044.76;625.5;1044.41;639.36;10;0.81;stop;-1;;
26;1957.97;641.27;1973.97;639.9;1971.0;605.23;1955.0;606.6;10;0.82;stop;9;1;7518
27;2725.5;1153.86;2726.13;1138.0;2692.13;1136.64;2691.49;1152.5;10;0.81;stop;11;1;7518
32;3500.38;1067.34;3504.54;1052.24;3470.87;1042.97;3466.71;1058.07;10;0.76;stop;6;1;7518
36;992.66;636.0;993.41;622.68;966.71;621.19;965.97;634.5;10;0.81;stop;-1;;
37;3428.72;930.61;3446.71;903.17;3433.78;894.7;3415.79;922.14;10;0.82;stop;6;1;7518
40;1993.0;896.91;2007.45;896.76;2007.13;865.4;1992.67;865.55;10;0.81;stop;9;1;7518
46;1784.26;1659.7;1784.26;1644.43;1755.74;1644.43;1755.74;1659.7;10;0.8;stop;14;1;7518
49;1145.21;1055.57;1145.39;1040.7;1113.79;1040.31;1113.61;1055.18;10;0.81;stop;10;1;7518
53;2832.26;1028.15;2833.34;1012.82;2797.99;1010.35;2796.91;1025.68;10;0.8;stop;6;1;7518
56;3357.07;1360.69;3362.34;1346.96;3333.87;1336.02;3328.6;1349.76;10;0.81;stop;11;1;7518
57;1790.6;235.62;1804.13;234.99;1802.65;203.13;1789.12;203.76;10;0.78;stop;1;1;7132
59;2969.05;1287.22;2974.13;1271.39;2937.95;1259.78;2932.87;1275.61;10;0.8;stop;13;1;7518
60;1943.06;929.7;1956.94;928.25;1953.94;899.55;1940.06;901.0;10;0.77;move;-1;;
64;1493.9;1655.26;1494.11;1641.44;1464.85;1640.99;1464.64;1654.81;10;0.79;stop;14;1;7518
65;1962.96;888.39;1976.55;886.46;1972.29;856.49;1958.7;858.42;10;0.79;move;-1;;
66;3241.22;1447.43;3251.28;1411.61;3234.09;1406.78;3224.03;1442.6;10;0.78;stop;-1;;
67;1983.55;740.87;1998.09;739.19;1994.64;709.26;1980.1;710.94;10;0.82;stop;9;1;7518
68;3735.01;895.57;3770.45;891.63;3768.74;876.3;3733.3;880.24;10;0.8;stop;6;1;7518
72;3476.13;826.9;3493.78;798.07;3481.06;790.28;3463.41;819.12;10;0.8;stop;6;1;7518
74;2894.74;1029.67;2895.9;1015.61;2868.26;1013.33;2867.1;1027.39;10;0.8;stop;6;1;7518
76;2496.85;1153.06;2529.76;1152.05;2529.27;1136.31;2496.37;1137.32;10;0.79;stop;11;1;7518
79;3142.2;447.67;3170.38;443.19;3168.11;428.89;3139.93;433.38;10;0.8;stop;8;1;7518
80;3781.04;890.1;3814.15;886.77;3812.71;872.4;3779.6;875.73;10;0.8;stop;6;1;7518
84;659.69;1105.7;687.87;1103.45;686.56;1087.11;658.38;1089.36;10;0.62;move;-1;;
86;2748.68;482.89;2782.6;478.37;2780.69;463.99;2746.77;468.5;10;0.79;stop;7;1;7518
87;858.93;1174.67;888.58;1174.65;888.57;1158.77;858.92;1158.79;10;0.77;stop;-1;;
90;3410.4;965.97;3426.75;933.43;3411.79;925.91;3395.44;958.45;10;0.8;stop;6;1;7518
91;2041.7;1382.4;2043.0;1353.11;2028.74;1352.47;2027.44;1381.77;10;0.8;stop;15;1;7518
92;938.16;1060.21;966.05;1059.93;965.9;1045.41;938.01;1045.7;10;0.8;stop;10;1;7518
93;367.05;1074.09;398.43;1074.07;398.42;1058.72;367.04;1058.74;10;0.79;stop;10;1;7518
96;1860.9;2149.81;1874.67;2122.07;1862.85;2116.19;1849.08;2143.93;10;0.78;stop;-1;;
97;1979.66;704.38;1994.02;703.1;1991.59;675.99;1977.23;677.28;10;0.81;stop;9;1;7518
98;2649.89;492.53;2679.39;489.07;2677.74;474.97;2648.23;478.43;10;0.81;stop;7;1;7518
101;1876.01;2115.82;1888.63;2089.35;1876.99;2083.8;1864.37;2110.27;10;0.79;stop;-1;;
109;1920.15;623.56;1933.1;622.59;1931.19;597.07;1918.24;598.04;10;0.76;move;-1;;
110;2914.61;1303.89;2915.74;1288.3;2883.36;1285.96;2882.23;1301.55;10;0.76;stop;13;1;7518
111;1991.48;852.51;2004.46;851.44;2002.27;824.86;1989.29;825.94;10;0.79;stop;9;1;7518
112;1983.84;822.97;1999.09;820.38;1993.78;789.15;1978.53;791.75;10;0.8;stop;9;1;7518
114;3058.79;1051.15;3060.83;1037.74;3032.71;1033.48;3030.67;1046.89;10;0.81;stop;6;1;7518
117;2572.2;1696.64;2575.34;1660.5;2560.8;1659.23;2557.66;1695.38;10;0.79;stop;16;1;7518
118;1967.92;1837.57;1972.66;1805.22;1957.12;1802.93;1952.37;1835.28;10;0.78;stop;-1;;
119;1948.82;253.6;1963.52;252.16;1960.74;223.96;1946.04;225.41;10;0.81;stop;2;1;7518
120;2740.44;525.66;2774.33;522.25;2772.81;507.09;2738.92;510.5;10;0.8;stop;7;1;7518
124;1994.73;930.13;2008.18;929.56;2007.09;904.18;1993.63;904.76;10;0.79;stop;9;1;7518
125;1812.35;1028.26;1831.79;999.73;1819.15;991.11;1799.71;1019.64;10;0.76;stop;-1;;
126;3025.0;1048.72;3027.93;1033.24;2994.5;1026.91;2991.57;1042.39;10;0.82;stop;6;1;7518
130;2642.87;1149.73;2642.89;1135.19;2611.63;1135.15;2611.61;1149.68;10;0.77;stop;11;1;7518
131;2696.16;1022.95;2696.73;1007.95;2664.64;1006.74;2664.07;1021.74;10;0.79;stop;6;1;7518
132;2687.62;488.87;2719.3;485.22;2717.63;470.76;2685.95;474.41;10;0.8;stop;7;1;7518
133;2393.28;515.05;2423.26;511.18;2421.35;496.32;2391.36;500.2;10;0.78;stop;7;1;7518
135;3585.41;681.69;3598.36;651.1;3583.65;644.87;3570.7;675.47;10;0.8;stop;6;1;7518
136;1294.33;1045.96;1317.97;1045.85;1317.92;1034.16;1294.28;1034.27;10;0.79;stop;10;1;7518
141;3354.99;1320.7;3359.92;1306.34;3329.38;1295.86;3324.45;1310.23;10;0.82;stop;11;4932;7518
142;1823.11;685.26;1837.25;683.86;1834.26;653.49;1820.12;654.89;10;0.8;stop;1;1;7518
145;2083.38;1032.7;2117.19;1032.28;2117.0;1017.05;2083.18;1017.47;10;0.77;stop;-1;;
148;1277.14;1182.45;1325.66;1180.67;1324.98;1162.05;1276.46;1163.83;9;0.78;stop;12;1;7518
150;2346.69;1154.21;2346.69;1139.66;2316.06;1139.66;2316.06;1154.21;10;0.78;stop;11;1;7518
151;953.0;633.09;953.72;621.03;926.69;619.41;925.96;631.47;10;0.78;stop;-1;;
152;1986.61;780.23;1999.62;779.34;1997.77;752.02;1984.75;752.91;10;0.79;stop;9;1;7518
153;903.52;1061.31;934.57;1059.98;933.98;1046.19;902.93;1047.52;10;0.79;stop;10;1;7518
158;1914.65;2028.47;1923.86;2004.48;1912.6;2000.15;1903.39;2024.14;10;0.77;stop;-1;;
159;3008.99;1305.25;3016.49;1289.88;2981.26;1272.69;2973.76;1288.06;10;0.77;stop;13;1;7518
160;792.61;1185.04;822.85;1184.76;822.7;1169.03;792.47;1169.3;10;0.79;stop;12;1;7518
161;764.9;1064.42;793.12;1062.85;792.38;1049.46;764.16;1051.03;10;0.75;stop;10;1;7518
163;3046.11;1341.94;3059.41;1327.4;3023.73;1294.78;3010.44;1309.32;10;0.61;stop;13;1;7518
166;3177.47;442.2;3204.3;437.85;3202.22;424.99;3175.38;429.34;10;0.79;stop;8;1;7518
167;1178.6;1182.69;1208.12;1180.45;1206.96;1165.19;1177.44;1167.42;10;0.78;stop;12;2655;7518
171;751.96;1185.25;779.99;1183.93;779.3;1169.38;751.28;1170.69;10;0.78;stop;12;1;7518
172;2754.99;1023.43;2755.68;1008.83;2721.18;1007.19;2720.49;1021.79;10;0.8;stop;6;1;7518
175;1960.3;1874.64;1965.56;1845.88;1952.45;1843.49;1947.19;1872.24;10;0.76;stop;-1;;
176;3785.17;150.19;3797.64;119.68;3784.21;114.19;3771.73;144.69;10;0.8;stop;6;1;7518
177;3420.87;868.96;3441.55;845.09;3430.38;835.41;3409.7;859.28;10;0.79;stop;6;1;7518
179;3101.15;1190.95;3102.97;1175.2;3071.35;1171.55;3069.53;1187.3;10;0.8;stop;11;1;7518
180;3017.81;1179.21;3020.37;1164.12;2989.69;1158.92;2987.13;1174.01;10;0.8;stop;11;1;7518
181;1745.84;1657.73;1746.22;1642.67;1715.79;1641.9;1715.4;1656.96;10;0.79;stop;14;1;7518
183;2787.32;477.89;2819.09;474.66;2817.76;461.49;2785.99;464.71;10;0.8;stop;7;1;7518
184;864.29;1064.51;894.4;1062.68;893.52;1048.24;863.41;1050.07;10;0.78;stop;10;1;7518
188;3752.2;235.56;3762.01;205.48;3747.8;200.85;3737.99;230.93;10;0.8;stop;6;1;7518
190;3282.5;516.92;3297.21;516.76;3296.88;484.33;3282.16;484.49;10;0.78;stop;8;1;7518
195;944.13;1185.27;976.82;1184.06;976.24;1168.23;943.55;1169.44;10;0.75;stop;12;1;7518
196;2354.62;1154.48;2384.95;1153.81;2384.63;1139.39;2354.3;1140.07;10;0.77;stop;11;1;7518
197;2393.76;1153.51;2423.27;1153.21;2423.12;1138.11;2393.6;1138.42;10;0.77;stop;11;1;7518
198;2538.67;1150.45;2568.66;1150.02;2568.45;1135.55;2538.47;1135.98;10;0.77;stop;11;1;7518
200;2960.56;1993.92;2974.31;1982.92;2950.94;1953.71;2937.19;1964.71;10;0.77;stop;-1;;
203;1194.85;1088.94;1224.21;1088.13;1223.75;1071.0;1194.38;1071.8;9;0.52;move;-1;;
204;1922.16;56.2;1936.31;54.99;1933.97;27.61;1919.81;28.83;10;0.8;stop;2;1;7518
210;2278.04;1155.23;2305.21;1154.53;2304.83;1139.77;2277.66;1140.47;10;0.77;stop;11;1;7518
211;2577.39;1552.41;2578.72;1517.78;2562.36;1517.15;2561.03;1551.79;10;0.76;stop;16;1;7518
212;1771.81;190.23;1786.1;188.71;1783.19;161.33;1768.9;162.86;10;0.78;stop;1;1;7518
213;2859.85;473.17;2893.47;469.56;2891.9;454.95;2858.28;458.56;10;0.8;stop;7;1;7518
217;1611.0;1656.61;1640.32;1656.45;1640.25;1641.89;1610.93;1642.05;10;0.74;stop;14;1;7518
218;1289.42;1693.42;1317.45;1692.93;1317.21;1679.33;1289.18;1679.82;10;0.74;stop;14;1;7518
